bookingID,Accuracy,Bearing,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,Speed
249108103350,7.83,237.0,1.4571075,9.252884,0.13023376,0.02355957,0.22238159,0.052612305,248.0,3.07
738734374924,3.889,51.0,0.12770672,9.988647,0.7732601,0.017174039,0.0060562924,-0.030717794,103.0,0.0
377957122124,3.6069999999999998,0.0,-0.16041565,9.8293915,0.03831482,-0.002670288,0.005065918,0.0074768066,770.0,0.0
481036337232,4.0,327.0,1.421993,4.791601999999999,9.800933,0.041067597000000004,-0.3106337,0.06571165,2065.0,13.064321000000001
738734375058,2.0,55.36300277709961,2.9478057861328133,-8.752648925781251,-3.489425659179688,0.21005683097999991,-0.38744945855796004,0.031402930309778344,1030.0,21.975648880004886
575525617726,3.9,49.0,0.31124622,9.48044,-1.5664065,0.012783173500000002,0.025566347000000003,-0.017044231,641.0,21.39
481036337232,3.0,346.0,1.6040671999999998,7.067875,10.798156,-0.08752826,0.03239331,0.05729916,1249.0,3.8654363
240518168737,4.0,177.0,-0.25139886,10.024828999999999,4.5012364,-0.027592784,0.010407312,0.01897775,48.0,7.70858
163208757276,3.0,106.0,-0.93,8.426,4.948,-0.013859275,0.013859275,-0.009594883,383.0,0.0
618475290765,3.0,183.78497,1.5275473999999998,9.5794935,-2.5187771,-0.21591337,0.25517979999999996,0.033189527999999996,710.0,15.448685000000001
618475290765,24.0,122.78335,-0.9696813,9.888355,-1.3264283000000001,0.038206566000000004,0.10429607,-0.018734014,445.0,0.8282707
730144440322,3.0,95.0,0.5585864,9.346484,4.390171,-0.09299114,-0.041364305,-0.022497293999999998,401.0,0.0
1649267441794,9.135,7.0,-0.16281068,9.725544000000001,1.132492,-0.0012773192,0.0023133466,-0.0016749926000000001,85.0,0.0
1073741824050,10.033999999999999,214.0,0.43879700000000005,9.069778,1.15802,-0.022033691,-0.02218628,0.0019989014,407.0,1.08
738734375058,4.0,135.78732299804688,0.9933685302734376,-9.759326171875,-2.9036926269531254,0.08121549428694744,-0.21089146566563075,0.044130177159267016,889.0,23.468074798583984
1099511627784,8.0,140.0,-2.4420857000000002,10.085575,3.0573955,-0.037284255,0.21837921,-0.023435817999999997,333.0,7.0308470000000005
730144440322,3.0,225.0,0.83431226,9.108242,3.5779332999999998,0.059411008,0.038711403,0.050911255,843.0,0.0
953482739879,3.9,268.0,-0.8274994000000001,8.924744,-0.493515,-0.033172607,0.0021820068,-0.023086548,493.0,21.27
678604832836,8.0,221.12619018554688,0.41645812988281256,-7.794122314453125,-3.5019866943359377,0.05943989131780554,-0.0981670472575198,0.08080456853074823,627.0,27.10159683227539
1142461300890,3.0,13.0,-0.12689656,9.605830000000001,1.0295382,0.012509298500000002,0.010293690500000001,-0.0051282137,407.0,0.0
